STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,TERRITORIAL_LEVEL,Territorial level,REF_AREA,Reference area,TERRITORIAL_TYPE,Territorial typology,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,COUNTRY,Country,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,JPN,Japan,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,51222129,,JPN,Japan,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,LTU,Lithuania,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,1172394,,LTU,Lithuania,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,MEX,Mexico,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,10176179,,MEX,Mexico,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,CHE,Switzerland,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,3543396,,CHE,Switzerland,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,LVA,Latvia,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,556771,,LVA,Latvia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,CZE,Czechia,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,3431553,,CZE,Czechia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,ITA,Italy,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,32551408,,ITA,Italy,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,SVN,Slovenia,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,868905,,SVN,Slovenia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,KOR,Korea,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,8083926,,KOR,Korea,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,DNK,Denmark,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,1854100,,DNK,Denmark,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,FIN,Finland,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,2134730,,FIN,Finland,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,AUT,Austria,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,4097200,,AUT,Austria,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,EST,Estonia,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,463900,,EST,Estonia,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,TUR,Türkiye,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,4422180,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,IRL,Ireland,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,1319200,,IRL,Ireland,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2000,,42423254,,DEU,Germany,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,DEU,Germany,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2001,,43768587,,DEU,Germany,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,IRL,Ireland,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2001,,1384700,,IRL,Ireland,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,TUR,Türkiye,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2001,,4534803,,TUR,Türkiye,A,Normal value,0,Units,0,Zero
DATAFLOW,OECD.CFE.EDS:DSD_REG_SOC@DF_VEH(2.2),Private road vehicles - Regions,I,A,Annual,CTRY,Country,EST,Estonia,_Z,Not applicable,VEH_STOCK_TOTAL,"Vehicles fleet, total",_Z,Not applicable,_Z,Not applicable,UT,Units,2001,,407300,,EST,Estonia,A,Normal value,0,Units,0,Zero
