Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
,DS DS7 CROSSBACK,2402,129.3,1760,73.4,48.2,67.9,2,155.5,6.7,31.1,67,2047,145.5,5.5,55.9,68,0.3,-,-,353,353,-,-
,FERRARI PUROSANGUE,409,393.2,2245,175.2,9,73,409,393.2,16.9,9,73,-,-,-,-,-,-,-,-,-,-,-,-
,FIAT 600,3867,85.8,1457,58.9,12.6,66,1,109,4.7,-,66,-,-,-,-,-,-,-,-,3047,-,819,-
,FISKER OCEAN,132,0,2557,0,0,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,-
,FORD CAPRI,440,0,2212,0,0,67.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440,-
,FORD ECOSPORT,13,116.5,1460,79.8,14.95,65.8,10,151.4,6.5,14.95,66,-,-,-,-,-,-,-,-,-,-,3,-
,FORD EXPLORER,3071,15,2293,6.6,3.5,67.2,1,-,-,-,73,-,-,-,-,-,-,-,-,644,644,2426,-
,FORD KUGA,21382,84.2,1858,45.3,7,67.1,3755,150.9,6.5,4.5,66.4,1760,153.3,5.8,24.4,67.1,0.6,-,-,15862,10190,-,5
,FORD MUSTANG MACH-E,2049,0,2271,0,0,67.61865234375,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2049,-
,GWM COFFEE 01,733,41.2,2440,16.9,12.9,66,-,-,-,-,-,-,-,-,-,-,-,-,-,733,733,-,-
,GWM COFFEE 02,170,17.5,2192,8,14.8,67.7,-,-,-,-,-,-,-,-,-,-,-,-,-,170,170,-,-
,HONDA CR-V,1618,126.2,1895,66.6,8.7,64.1,-,-,-,-,-,-,-,-,-,-,-,-,-,1618,267,-,-
,HONDA E:NY1,795,0,1756,0,0,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,795,-
,HONDA HR-V,1664,122,1473,82.8,4.4,66,-,-,-,-,-,-,-,-,-,-,-,-,-,1664,-,-,-
,HONDA ZR-V,856,131.5,1691,77.8,9.7,67,-,-,-,-,-,-,-,-,-,-,-,-,-,856,-,-,-
,HYUNDAI BAYON,4428,121.3,1311,92.6,19.8,67.6,1627,124.5,5.4,14.5,67.9,-,-,-,-,-,-,-,-,2801,-,-,-
,HYUNDAI GV60,118,0,2225,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,-
,HYUNDAI GV70,591,157.7,2178,72.4,27.7,68.2,134,226,9.7,42.3,68,325,196.2,7.4,32.2,68,0.2,-,-,-,-,132,-
,HYUNDAI GV80,128,244.4,2409.4140625,101.4,20.7,68.3,34,248.875,10.7,28.9,69,92,242.8,9.2,17.7,68,0.2,-,-,2,-,-,-
,HYUNDAI IONIQ5,7638,0,2125,0,0,68.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7638,-
,HYUNDAI KONA,13614,67.3,1698,39.6,6.2,68.8,4490,143.2,6.2,17.3,69.5,-,-,-,-,-,-,-,-,2603,-,6521,-
,HYUNDAI TUCSON,21754,130.4,1791,72.8,18.8,67.4,2199,154.8,6.7,17.4,68,3,172.7,6.5,17.5,67.7,0.4,-,-,19552,3512,-,-
,JAGUAR I-PACE,95,0,2279,0,0,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95,-
,JEEP AVENGER,4776,104.2,1389,75.1,22.9,65.4,3010,128.2,5.5,30.9,65,-,-,-,-,-,-,-,-,1004,-,762,-
,KIA EV3,468,0,1997,0,0,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,468,-
,KIA EV6,5181,0,2146,0,0,67.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5181,-
,KIA EV9,1413,0,2729,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1413,-
,KIA NIRO,5785,22.4,1752,12.8,1.6,67.3,-,-,-,-,-,-,-,-,-,-,-,-,-,1735,599,4050,-
,KIA SPORTAGE,15669,131.7,1782,73.9,21.3,67.2,513,155.8,6.7,14.7,67.9,1,-,-,131.3,73,0.1,-,-,15155,1952,-,-
,KIA STONIC,5542,127.6,1286,99.2,19.5,69.6,3336,127.1,5.5,19.3,69.6,-,-,-,-,-,-,-,-,2206,-,-,-
,LADA NIVA,28,243.3,1232.75,197.4,-,73.9,28,243.3,10.5,-,73.9,-,-,-,-,-,-,-,-,-,-,-,-
,LEAPMOTOR C10,19,0,2070,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,-
,LEXUS LBX,1366,103.7,1432,72.4,8.7,66,2,-,-,-,74,-,-,-,-,-,-,-,-,1364,-,-,-
,LEXUS NX,1655,102.4,1986,51.5,2.6,67,-,-,-,-,-,-,-,-,-,-,-,-,-,1655,513,-,-
,LEXUS RX,1060,111.4,2264,49.2,8.4,65.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1060,428,-,-
,LEXUS RZ,146,0,2197,0,0,64.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,-
,LEXUS UX,747,117.9,1677,70.3,3.1,66.1,-,-,-,-,-,-,-,-,-,-,-,-,-,728,-,19,-
,LOTUS ELETRE,180,0,2650,0,0,70.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,180,-
,LYNK & CO 01,57,28.75,1970,14.6,7.5,65,-,-,-,-,-,-,-,-,-,-,-,-,-,57,54,-,-
,MASERATI GRECALE,291,216.3,2060,105,19.2,69.4,117,255.1,11,6.3,71,-,-,-,-,-,-,-,-,161,-,13,-
,MASERATI LEVANTE,103,288.6,2206,130.8,20.4,69.6,81,305.3,13.2,17.2,70,-,-,-,-,-,-,-,-,22,-,-,-
,MAZDA CX-5,10819,163.5,1680,97.3,19.5,65.7,10,163.9,7.1,14.6,66,1887,168.9,6.4,56.9,67,0.1,-,-,8922,-,-,-
,MAZDA CX-30,9219,140.5,1496,93.9,14.9,65.8,1,-,-,-,65,-,-,-,-,-,-,-,-,9218,-,-,-
,MAZDA CX-60,6121,93.5,2029,46.1,16.7,65.3,-,-,-,-,-,3,139,5.2,-,65,-,-,-,6118,2609,-,-
,MAZDA CX-80,859,82.1,2253,36.4,11.8,64,1,-,-,-,64,1,166,6.3,-,64,-,-,-,857,519,-,-
,MAZDA MX-30,1436,17.7,1825,9.7,11.8,66.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1131,1131,305,-
,MERCEDES GLA,24924,73.6,1848,39.8,8.5,67.5,94,214.3,9.2,26.8,69.8,2318,146.9,5.5,18,69,1,-,-,11036,2064,11476,-
,MERCEDES GLB,15495,79.3,1939,40.9,8.5,67.7,141,182,7.8,21,68.9,4205,151.4,5.7,17.9,69,1,-,-,3339,-,7810,-
,"MERCEDES GLK, GLC",32335,111.7,2106,53.1,12.1,67.8,12,248.8,10.7,24.6,70.1,88,180.6,6.8,31,68.1,0.8,-,-,32146,10734,89,-
,MG ROEWE MARVEL,144,0,1922,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,-
,MG ROEWE RX6,2207,162,1654,97.9,33.7,67.9,2047,173.4,7.5,35.2,68,-,-,-,-,-,-,-,-,160,160,-,-
,MG ROEWE ZS,3533,93.5,1484,63,10.8,69.1,1911,159.3,6.9,17.8,69.9,-,-,-,-,-,-,-,-,235,-,1387,-
,MITSUBISHI ASX,4953,116.8,1383,84.4,25.5,67,1553,131.7,5.7,46.7,66,-,-,-,-,-,-,-,-,3400,535,-,-
,MITSUBISHI ECLIPSE CROSS,4880,48.8,1975,24.7,2.6,63,-,-,-,-,-,-,-,-,-,-,-,-,-,4880,4880,-,-
,NIO EL6,74,0,2420,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,-
,NIO EL7,34,0,2491,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,-
,NIO ES8,42,0,2625,0,0,67.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,-
,NISSAN ARIYA,827,0,2237,0,0,62.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,827,-
,NISSAN QASHQAI,12318,134.6,1664,80.9,13.5,66.3,11,150.3,6.5,-,66,-,-,-,-,-,-,-,-,12307,-,-,-
,OPEL CROSSLAND X,10954,137.4,1418,96.9,31.3,67,10513,137.8,5.9,29.6,67,441,128.2,4.8,71.1,68,0.9,-,-,-,-,-,-
,OPEL FRONTERA,113,12.3,1578,7.8,0,65.6,-,-,-,-,-,-,-,-,-,-,-,-,-,28,-,85,-
,OPEL GRANDLAND X,19756,135.8,1643,82.6,34.2,67.3,15054,144,6.2,35.8,67.4,1979,143.4,5.4,50.5,68,0.2,-,-,2578,957,145,-
,OPEL MOKKA,21544,120.2,1397,86.1,18.8,66.4,19380,130.9,5.6,20.5,66.4,59,118.1,4.5,33.3,66,0.4,-,-,439,-,1666,-
,PEUGEOT 2008,14670,125.3,1416,88.5,23.6,65.5,12417,133.9,5.8,24.3,65.2,396,132,5,65.4,67,0.2,-,-,1127,-,730,-
,POLESTAR 3,235,0,2710,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235,-
,POLESTAR 4,681,0,2364,0,0,67.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,681,-
,RENAULT ARKANA,3412,127.2,1504,84.6,17.7,66.7,1,106,4.6,-,67,-,-,-,-,-,-,-,-,3411,-,-,-
,RENAULT AUSTRAL,8144,131.1,1658,79.1,28.9,67.6,-,-,-,-,-,-,-,-,-,-,-,-,-,8144,-,-,-
,RENAULT CAPTUR,7494,129.1,1438,89.8,26.1,67.2,1617,133.8,5.8,46.7,66,-,-,-,-,-,-,-,90,5787,52,-,-
,RENAULT KOLEOS,379,171.8,1886,91.1,26.5,67.8,81,152.4,6.6,19.1,67,298,177.1,6.7,28.5,68,0.2,-,-,-,-,-,-
,RENAULT RAFALE,1655,92.6,1840,50.3,46.1,66,-,-,-,-,-,-,-,-,-,-,-,-,-,1655,282,-,-
,RENAULT SYMBIOZ,1503,106.5,1551,68.7,5.5,67,-,-,-,-,-,-,-,-,-,-,-,-,-,1503,-,-,-
,SEAT ARONA,19100,129.1,1229,105.1,25,65.9,19091,129.1,5.6,25,65.9,-,-,-,-,-,-,8,1,-,-,-,-
,SEAT ATECA,21902,165.2,1503,109.9,17.6,66.1,18771,169.1,7.3,16.2,66.1,3130,142,5.4,26,66.6,0.3,-,1,-,-,-,-
,SEAT FORMENTOR,29406,143.5,1581,90.7,15,67.9,19087,178.7,7.7,15.2,68.1,1655,152.2,5.7,28.8,68,0.3,-,-,8664,5668,-,-
,SEAT TARRACO,4628,125.2,1760,71.1,21.7,65.9,1191,171.2,7.4,14,66.6,2154,153.4,5.8,31.9,66.7,0.2,-,1,1282,1282,-,-
,SEAT TAVASCAN,1601,0,2226,0,0,66.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1601,-
,SEAT TERRAMAR,822,76.8,1857,41.4,17.3,66.2,235,194.9,8.4,36.6,67,-,-,-,-,-,-,-,-,587,501,-,-
,SKODA ELROQ,46,0,2082,0,-,65.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,-
,SKODA ENYAQ,25263,0,2119,0,0,65.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,25262,-
,SKODA KAMIQ,22365,129.7,1260,102.9,19.5,66.3,22362,129.7,5.6,19.5,66.3,1,-,-,-,70,-,1,1,-,-,-,-
,SKODA KAROQ,31145,146.7,1478,99.3,18.1,67.7,22698,146.6,6.3,13.9,67.8,8443,147.1,5.6,29.3,67.5,0.4,-,4,-,-,-,-
,SMART 1,7282,0,1913,0,0,66.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7282,-
,SMART 3,2040,0,1909,0,0,65.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2040,-
,SSANGYONG KORANDO,465,97.4,1762,55.3,7.2,66.2,238,183.1,7.9,13.5,67.1,15,164,6.2,10,70,0.1,-,-,-,-,212,-
,SSANGYONG TIVOLI,666,170.8,1494,114.4,16.3,68.3,666,170.8,7.4,16.3,68.3,-,-,-,-,-,-,-,-,-,-,-,-
,SSANGYONG TORRES,650,168,1762,95.4,10.1,67.6,562,194.5,8.4,11.6,67.6,-,-,-,-,-,-,-,-,-,-,88,-
,SUBARU SOLTERRA,147,0,2130,0,0,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,147,-
,SUBARU XV,742,176.4,1649,106.9,14.1,67.8,190,180,7.8,27.1,70,-,-,-,-,-,-,-,-,552,-,-,-
,SUZUKI ACROSS,289,55.1,2001,27.5,4.2,64,-,-,-,-,-,-,-,-,-,-,-,-,-,289,289,-,-
,SUZUKI SX4,3305,126.8,1357,93.4,16,66.4,1,174,7.5,-,66,-,-,-,-,-,-,-,-,3304,-,-,-
,SUZUKI VITARA,6168,124.8,1311,95.2,16,66.7,5,147,6.3,-,66.4,-,-,-,-,-,-,-,-,6163,-,-,-
,TESLA MODEL X,302,0,2480,0,0,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,302,-
,TESLA MODEL Y,29896,0,2037,0,0,68.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29896,-
,TOYOTA BZ4,1550,0,2051,0,0,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1550,-
,TOYOTA C-HR,10996,101.6,1592,63.8,3.2,67,3,108,4.7,-,67,-,-,-,-,-,-,-,-,10993,947,-,-
,TOYOTA HIGHLANDER,90,159.5,2207,72.2,6.7,68,1,157,6.8,-,68,-,-,-,-,-,-,-,-,89,-,-,-
,TOYOTA RAV 4,5913,116.8,1800,64.9,2.2,67.8,13,139.6,6,-,68.2,-,-,-,-,-,-,-,-,5900,701,-,-
,VINFAST VF 6,11,0,2127,0,0,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-
,VINFAST VF 8,163,0,2567,0,0,65,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163,-
,VOLVO C40,1057,0,2187,0,0,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1057,-
,VOLVO EX30,8777,0,1903,0,0,65.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8777,-
,VOLVO EX90,103,0,2880,0,0,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103,-
,"VW ID.4, ID.5",21611,0,2158,0,0,66.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21611,-
,VW T-CROSS,28789,135.1,1294,104.4,20.7,67,28789,135.1,5.8,20.7,67,-,-,-,-,-,-,-,-,-,-,-,-
,VW T-ROC,75398,144.8,1389,104.3,16.3,68.8,67602,145.9,6.3,15.1,68.8,7796,135.3,5.1,27.2,68.9,0.4,-,-,-,-,-,-
,VW TAIGO,27346,131.7,1260,104.5,22.3,67.4,27346,131.7,5.7,22.3,67.4,-,-,-,-,-,-,-,-,-,-,-,-
,VW TAYRON,30,142,1896,74.9,25.8,68.9,5,253.7,10.9,-,71,13,182,6.9,25.8,68.7,0.8,-,-,12,10,-,-
,XPENG G6,135,0,2179,0,0,68.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,135,-
,XPENG G9,219,0,2411,0,0,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,-
,SONSTIGE,18,26.9,1850,14.5,8.9,69.1,8,148,6.4,18.7,69.375,1,-,-,42.3,68,1.3,-,-,-,-,2,7
SUVs ZUSAMMEN,,849815,100.8,1675,60.2,14,67.1,338952,144.3,6.2,19.5,67.4,49875,145,5.5,30,67.9,0.5,9,2027,263558,60580,195382,12
GELÄNDEWAGEN,ASTON MARTIN DBX,173,323.4375,2325,139.1,-,71.5,173,323.4375,13.9,-,71.5,-,-,-,-,-,-,-,-,-,-,-,-
,AUDI Q3,21285,157.6,1662,94.8,19.3,67.4,12954,174.6,7.5,16.6,67.2,6636,155.6,5.9,26.8,68.1,0.4,-,-,1695,1694,-,-
,AUDI Q5,17294,163.6,1919,85.2,20.2,67.6,15,188,8.1,-,67.9,7,-,-,-,67.6,-,-,-,17272,2375,-,-
,AUDI Q7,4114,181.5,2297,79,17.9,69.4,712,281.3,12.1,14.8,69,7,-,-,-,70.4,-,-,-,3395,1039,-,-
,AUDI Q8,9480,121.8,2453,49.6,8.7,68.2,1075,285.6,12.3,14.8,69.1,2,-,-,-,67.5,-,-,-,4104,889,4299,-
,BENTLEY BENTAYGA,173,264.1,2643,99.9,-,72.2,147,298.2,12.9,-,72.9,-,-,-,-,-,-,-,-,26,26,-,-
,BMW X3,27548,137,2013,68,19.6,67.1,769,247.2,10.7,13.3,69.9,3,-,-,-,72,-,-,-,22144,1600,4632,-
,BMW X4,4604,185.3,1991,93.1,25.5,67.6,580,245,10.6,13.3,70,-,-,-,-,-,-,-,-,4024,-,-,-
,BMW X5,13291,155.2,2374,65.4,22.6,67.5,19,309.2,13.3,8.5,69.9,4,211.25,8,48.3,70,0.2,-,-,13268,3919,-,-
,BMW X6,3498,211.2,2319,91.1,28.5,67.9,9,303.2,13.1,7.7,70.7,6,-,-,-,68,-,-,-,3483,-,-,-
,BMW X7,3286,226.6,2574,88,26.9,68,15,286,12.3,13.5,70.8,-,-,-,-,-,-,-,-,3271,-,-,-
,CADILLAC ESCALADE,111,327.1,2803,116.7,-,73.5,97,332.9,14.3,-,73.6,-,-,-,-,-,-,-,4,1,-,-,9
,HYUNDAI SANTA FE,1697,103,2131,48.3,8.5,67.2,-,-,-,-,-,119,173.9,6.6,35.7,69,0.2,-,-,1578,844,-,-
,INEOS GRENADIER,485,308.1,3008,102.4,22.8,71.2,77,329.7,14.2,15.4,72,408,304.1,11.5,24.2,71,0.7,-,-,-,-,-,-
,JAGUAR E-PACE,451,158.1,2051,77.1,23.1,66,-,-,-,-,-,-,-,-,-,-,-,-,-,451,87,-,-
,JAGUAR F-PACE,900,179.3,2127,84.3,19.8,69,199,257,11.1,10.4,70.6,-,-,-,-,-,-,-,-,701,155,-,-
,JEEP COMPASS,4354,121.8,1713,71.1,6.7,67.9,-,-,-,-,-,-,-,-,-,-,-,-,-,4354,338,-,-
,JEEP GRAND CHEROKEE,101,63.36,2650,23.9,5,68.6,-,-,-,-,-,-,-,-,-,-,-,-,-,101,101,-,-
,JEEP RENEGADE,1603,122.4,1665,73.5,7.2,66.9,-,-,-,-,-,-,-,-,-,-,-,-,-,1603,147,-,-
,JEEP WRANGLER,1137,250.8,2160,116.1,18.2,70.6,1036,262.5,11.3,18.6,70.6,19,-,-,-,73.6,-,-,-,82,77,-,-
,KIA SORENTO,3352,150,2064,72.7,20.2,68.5,-,-,-,-,-,2174,172.7,6.5,27.4,69,0.2,-,-,1178,539,-,-
,LAMBORGHINI URUS,593,320.2,2268,141.2,-,72.4,567,320.2,13.8,-,72.4,-,-,-,-,-,-,-,-,26,25,-,-
,LAND ROVER DEFENDER,3261,228,2604,87.5,19.8,69.2,269,325.9,14,12.2,71,1,-,-,-,69,-,-,-,2991,263,-,-
,LAND ROVER DISCOVERY,467,218,2592,84.1,20.2,69.2,-,-,-,-,-,-,-,-,-,-,-,-,-,467,-,-,-
,LAND ROVER DISCOVERY SPORT,997,159.6,2135,74.8,25.4,68.6,-,-,-,-,-,-,-,-,-,-,-,-,-,997,188,-,-
,LAND ROVER RANGE ROVER,1488,202,2696,74.9,21.7,68.4,51,266,11.5,38,67.5,8,218.7,8.3,-,67.5,-,-,-,1429,358,-,-
,LAND ROVER RANGE ROVER EVOQUE,2082,157.2,2069,76,23.7,68.6,-,-,-,-,-,3,182,6.9,24.45,67,0.3,-,-,2079,412,-,-
,LAND ROVER RANGE ROVER SPORT,2062,155.2875,2571,60.4,22,67.9,10,256.8,11.1,38,67.5,2,202,7.6,-,66,-,-,-,2050,905,-,-
,LAND ROVER RANGE ROVER VELAR,1791,167.8,2182,76.9,18.6,68.5,354,220,9.5,13,68,-,-,-,-,-,-,-,-,1437,420,-,-
,MERCEDES G-KLASSE,6075,315,2596,121.3,15.7,72,2570,364,15.7,16.9,72.5,471,290.6,11,21.6,71,1.3,-,-,2851,-,183,-
,"MERCEDES GL-KLASSE, GLS",3375,256.4,2634,97.3,12,69.2,13,240,10.3,-,68.5,173,239,9,30.5,67,0.69375,-,-,3189,-,-,-
,"MERCEDES ML-KLASSE, GLE",13216,139.6,2522,55.3,12.8,69.4,2,253,10.9,-,70,1402,223.6,8.4,30.4,71,0.7,-,-,11811,5237,-,1
,NISSAN X-TRAIL,5150,146.1,1912,76.4,4.6,63.2,1,205,8.8,-,62,-,-,-,-,-,-,-,-,5149,-,-,-
,PORSCHE CAYENNE,9645,110.7,2430,45.6,14.1,68.3,2981,275.7,11.9,13.7,70.1,-,-,-,-,-,-,-,-,6664,6664,-,-
,PORSCHE MACAN,6828,144.6,2163,66.9,11.3,68.6,4051,244.6,10.5,18.8,69.3,-,-,-,-,-,-,-,-,-,-,2777,-
,ROLLS ROYCE CULLINAN,57,375.4,2785,134.8,2.5,70,57,375.4,16.2,2.5,70,-,-,-,-,-,-,-,-,-,-,-,-
,SKODA KODIAQ,22652,153.2,1771,86.5,22.4,68,4403,180.3,7.8,14.3,68.3,15384,160.7,6.1,26.7,68.2,0.6,-,-,2865,1600,-,-
,SSANGYONG REXTON,403,213.5,2286,93.4,18.7,68.8,-,-,-,-,-,403,213.5,8.1,18.7,68.8,0.3,-,-,-,-,-,-
,SUBARU FORESTER,1547,184.9,1756,105.3,16.6,67,-,-,-,-,-,-,-,-,-,-,-,-,-,1547,-,-,-
,SUZUKI JIMNY,34,218.4,1187,184,10.6,69.6,34,218.4,9.4,10.6,69.6,-,-,-,-,-,-,-,-,-,-,-,-
,TOYOTA LANDCRUISER,1519,267.2,2555,104.6,28.9,67.7,8,300,12.9,-,73.375,1509,267.2,10.1,28.9,67.7,1.1,-,-,2,-,-,-
,VOLVO XC40,11300,102.9,1968,52.3,9.7,68,255,167,7.2,24.4,67,-,-,-,-,-,-,-,-,7447,60,3598,-
,VOLVO XC60,21810,87.4,2210,39.5,13.5,68.1,-,-,-,-,-,-,-,-,-,-,-,-,-,21810,13052,-,-
,VOLVO XC90,9448,56.5,2458,23,12.1,68,-,-,-,-,-,-,-,-,-,-,-,-,-,9448,8014,-,-
,VW TIGUAN,67057,152.7,1691,90.3,21.6,67.1,12928,172.8,7.4,15.6,68.2,37659,160.1,6,26.5,67.3,0.6,-,-,16470,4076,-,-
,VW TOUAREG,6713,180.9,2197,82.4,19.3,68.1,308,258.1,11.1,43.5,67.1,4831,218.7,8.3,18.8,68,0.3,-,-,1574,1574,-,-
GELÄNDEWAGEN ZUSAMMEN,,318507,149.3,2039,73.3,18.1,67.8,46739,210.9,9.1,16.1,68.6,71231,169.1,6.4,26.1,67.8,0.5,-,4,185034,56678,15489,10
SPORTWAGEN,ALPINE A110,425,155.3,1209,128.5,11.6,71.6,425,155.3,6.7,11.6,71.6,-,-,-,-,-,-,-,-,-,-,-,-
,ASTON MARTIN DB11,17,264.875,1921,137.9,-,73.3,17,264.875,11.4,-,73.3,-,-,-,-,-,-,-,-,-,-,-,-
,ASTON MARTIN V8,59,268.1,1796,149.3,-,72.8,59,268.1,11.6,-,72.8,-,-,-,-,-,-,-,-,-,-,-,-
,AUDI R8,598,304.1,1699,178.9,26.8,72,598,304.1,13.1,26.8,72,-,-,-,-,-,-,-,-,-,-,-,-
,AUDI TT,1015,185.6,1508,123.1,18.5,70,1015,185.6,8,18.5,70,-,-,-,-,-,-,-,-,-,-,-,-
,BMW I8,1,-,1560,-,11,72,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
,BMW Z4,3173,172.5,1582,109.1,9,68.5,3173,172.5,7.4,9,68.5,-,-,-,-,-,-,-,-,-,-,-,-
,FERRARI 12CILINDRI,2,353,1835,192.4,3.8,71,2,353,15.2,3.8,71,-,-,-,-,-,-,-,-,-,-,-,-
,FERRARI 296,564,163.1,1787,91.3,13.3,71.7,4,196,8.4,-,70.75,-,-,-,-,-,-,-,-,560,558,-,-
,FERRARI F8,14,295.1,1660,177.8,31.4,73,14,295.1,12.7,31.4,73,-,-,-,-,-,-,-,-,-,-,-,-
,FERRARI PORTOFINO,26,256,1750,146.3,20.2,73,26,256,11,20.2,73,-,-,-,-,-,-,-,-,-,-,-,-
,FERRARI ROMA,366,257,1737,147.9,14.7,73.7,366,257,11.1,14.7,73.7,-,-,-,-,-,-,-,-,-,-,-,-
,FERRARI SF90,263,174.5,1896,92,15.9,70.7,-,-,-,-,-,-,-,-,-,-,-,-,-,263,261,-,-
,FORD MUSTANG,1441,274.4,1909,143.7,11.9,71.8,1441,274.4,11.8,11.9,71.8,-,-,-,-,-,-,-,-,-,-,-,-
,JAGUAR F-TYPE,452,235,1877,125.2,19.2,68,452,235,10.1,19.2,68,-,-,-,-,-,-,-,-,-,-,-,-
,LEXUS LC,192,269.71875,2115,127.5,15,69,185,273,11.8,15.4,69,-,-,-,-,-,-,-,-,7,-,-,-
,LOTUS EMIRA,136,231.3,1547,149.5,54.9,71.9,136,231.3,10,54.9,71.9,-,-,-,-,-,-,-,-,-,-,-,-
,MASERATI GRANTURISMO,52,178.54,1993,89.6,8.9,69.6,40,234.9,10.1,11.7,69.5,-,-,-,-,-,-,-,-,-,-,12,-
,MERCEDES AMG GT,1320,275.2,2058,133.7,12.7,71,829,312.1,13.5,12.6,71,-,-,-,-,-,-,-,-,491,203,-,-
,MERCEDES E-KLASSE COUPE,143,197.9,1930,102.5,19.7,69,1,-,-,-,71,24,176.9,6.7,32.1875,68.625,0.8,-,-,118,-,-,-
,MERCEDES SL,1045,264.8,1927,137.4,14.8,71.6,667,296.6,12.8,15.8,71,-,-,-,-,-,-,-,-,378,46,-,-
,MG ROEWE CYBERSTER,18,0,2054,0,0,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,-
,PORSCHE 911,9664,256.4,1658,154.6,14.6,72.2,9023,257.2,11.1,15.1,72.2,-,-,-,-,-,-,-,-,641,-,-,-
,PORSCHE BOXSTER,1408,216.6,1469,147.5,20,70.4,1408,216.6,9.3,20,70.4,-,-,-,-,-,-,-,-,-,-,-,-
,PORSCHE CAYMAN,1077,241.5,1476,163.6,19.8,70.9,1077,241.5,10.4,19.8,70.9,-,-,-,-,-,-,-,-,-,-,-,-
,SUBARU BRZ,337,199.9,1373,145.6,7.3,68.8,337,199.9,8.6,7.3,68.8,-,-,-,-,-,-,-,-,-,-,-,-
,TOYOTA GR 86,553,199.7,1373,145.5,7.3,68.7,553,199.7,8.6,7.3,68.7,-,-,-,-,-,-,-,-,-,-,-,-
,TOYOTA SUPRA,222,185.2,1576,117.6,8.6,67.2,222,185.2,8,8.6,67.2,-,-,-,-,-,-,-,-,-,-,-,-
,SONSTIGE,139,313.5,1805,173.7,-,75,139,313.5,13.5,-,75,-,-,-,-,-,-,-,-,-,-,-,-
SPORTWAGEN ZUSAMMEN,,24722,234.4,1671,140.3,14.4,71,22209,238.2,10.3,14.6,71,24,176.9,6.7,32.1875,68.625,0.8,-,-,2459,1069,30,-
MINI-VANS,KIA SOUL,672,0,1832,0,0,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,672,-
