Segment,Modellreihe,Insgesamt,,,,,,Gasoline,,,,,Diesel,,,,,,"Erdgas 
(CNG)
(einschl. bivalent)","Flüssiggas 
(LPG)
(einschl. bivalent)",Hybrid,,"Elektro
(BEV)",Other
,,Anzahl,"CO2-Emission
in g/km","Leermasse
in kg","CO2-Emission
je 1 000kg","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB",Anzahl,"CO2-Emission
in g/km","Kraftstoff-
verbrauch
in l/100km","NOx-Emission
in mg/km","Fahrgeräusch
in dB","Partikelmasse
in mg/km",,,Insgesamt,of which: Plug-in,,
,SONSTIGE,12,10.6,1520.25,7,1.1,65.7,2,117,5,12.3,69,-,-,-,-,-,-,-,-,-,-,10,-
KLEINWAGEN ZUSAMMEN,,337045,115.1,1264,91.1,18,67.2,226079,125.9,5.4,21.4,67.3,1108,126.2,4.8,57.6,67.7,0.7,10,278,93463,15,16107,-
KOMPAKTKLASSE,AUDI A3,30688,136.7,1486,92,20.4,67.2,10582,179.6,7.7,19.8,68.9,6152,128.7,4.9,29.6,67,0.3,2,-,13952,2709,-,-
,BMW 1ER,19705,134.7,1459,92.3,13.9,67,13185,139.6,6,13.6,67.1,2727,128.4,4.8,22.2,66.6,0.2,-,-,3793,-,-,-
,BMW 2ER,19988,149.5,1616,92.5,13.1,67.7,14564,161.5,7,11.4,67.8,1864,128.6,4.9,31.3,67.7,0.6,-,-,3560,757,-,-
,BYD DOLPHIN,440,0,1645,0,0,66.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440,-
,CITROEN C4,12404,121.4,1462,83,36.6,66.6,9025,129.1,5.6,34.5,66.2,2157,131.6,5,62.3,68,0.3,-,-,539,-,683,-
,DACIA LOGAN,477,126,1222,103.1,31.1,68,477,126,5.4,31.1,68,-,-,-,-,-,-,-,-,-,-,-,-
,DACIA SANDERO,30693,123.2,1210,101.8,27.9,68.9,24145,126.3,5.4,27.7,69,-,-,-,-,-,-,-,6548,-,-,-,-
,DS DS4,905,130,1598,81.3,42.5,67.9,479,138.6,6,40,68,314,138.1,5.2,58,68,0.4,-,-,112,62,-,-
,FIAT TIPO,1504,118.1,1496,79,16.4,69.7,3,138,5.9,31.2,69,389,121,4.6,43,69,0.5,-,-,1112,-,-,-
,FORD FOCUS,21896,134,1597,83.9,29.2,66.7,2311,180.4,7.8,14,68.4,6828,133,5,57.6,68,0.4,-,-,12753,-,-,4
,GWM FUNKY CAT,2007,0,1655,0,0,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2007,-
,HONDA CIVIC,946,118.5,1567,75.6,8.6,65.6,123,185.8,8,15.3,70,-,-,-,-,-,-,-,-,823,-,-,-
,HYUNDAI I 30,14178,144.8,1522,95.2,31,68.6,6517,156.2,6.7,24.6,68.9,-,-,-,-,-,-,-,-,7661,-,-,-
